scenario_name,time_slot,solver_name,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbps,goodput_mbps,packet_loss_rate,fairness_index,queue_delay_ms,edge_utilization,transport_utilization,wireless_utilization,solver_runtime_s,objective_value,quality_gap,constraint_violation_count,dominant_bottleneck,admission_rate,metadata
wireless_dense,0,greedy,22.43085142258501,28.934191814911607,29.952969940449215,213.86921747173756,213.86921747173756,0.0,0.8290096531729473,11.435185185185185,1.0,0.9969507925196229,0.4,0.0001585179998073727,180.10613315602424,0.693828950255915,0,edge,0.75,{}
wireless_dense,1,greedy,20.968480281653438,27.284969019909905,27.75953865519281,186.18487135060556,183.1288506734218,0.0,0.7886723647169915,10.798611111111112,1.0,0.8594649775820465,0.35,0.00015596799494232982,209.08462269112766,0.5659209407547959,0,edge,0.75,{}
wireless_dense,2,greedy,20.298547883291203,26.588784075237676,27.415030979756484,194.06596774422172,192.32725160249373,0.0,0.7937663636424752,11.435185185185185,1.0,0.999298633944504,0.35,0.00015338099910877645,215.10420236106376,0.431866319381874,0,edge,0.75,{}
wireless_dense,3,greedy,19.733227427597438,26.458689253588265,26.751727548439778,175.86410238360412,171.78972001321932,0.0,0.8163086526793147,10.798611111111109,1.0,0.9641803069290563,0.35,0.0001545810082461685,211.26767726573487,0.5500256942376147,0,edge,0.75,{}
wireless_dense,0,shortest_path_nearest_edge,22.43085142258501,28.934191814911607,29.952969940449215,213.86921747173756,213.86921747173756,0.0,0.8290096531729473,11.435185185185185,1.0,0.9969507925196229,0.4,0.00040360599814448506,180.10613315602424,0.693828950255915,0,edge,0.75,{}
wireless_dense,1,shortest_path_nearest_edge,23.206667713502423,31.606373506535398,32.79257411934884,185.15889726282654,185.15889726282654,0.0,0.8055950602618118,13.778935185185185,1.0,0.852670447199404,0.35,0.00023456399503629655,228.17674697844237,0.7089097308446564,0,edge,0.75,{}
wireless_dense,2,shortest_path_nearest_edge,24.986047883291203,35.963784075237676,36.79003097975649,194.06596774422172,194.06596774422172,0.0,0.7930473741632861,16.122685185185187,1.0,0.999298633944504,0.35,0.00020256100106053054,282.81253569439707,0.7528928815687023,0,edge,0.75,{}
wireless_dense,3,shortest_path_nearest_edge,26.620249667770548,39.3883457433119,39.83426023380939,174.65130843815024,172.9445145574902,0.0,0.8416214587666901,18.466435185185187,1.0,0.956148558945918,0.3,0.00020050900639034808,313.55289056318054,0.8041073108955304,0,edge,0.75,{}
wireless_dense,0,load_balanced,20.08666644338412,25.402311927468247,25.494506062796273,213.86921747173756,213.86921747173756,0.0,0.8290096531729473,8.859953703703704,0.8888888888888888,0.9969507925196229,0.4,0.00022675699437968433,181.43909414956522,0.7063649360152987,0,transport,0.75,{}
wireless_dense,1,load_balanced,18.593596109604203,23.12025975964724,23.595351369971212,186.18487135060556,185.48671805915578,0.0,0.7939251075736452,8.94675925925926,0.875,0.8594649775820465,0.35,0.00020603599841706455,186.5489808270857,0.6386126965684725,0,edge,0.75,{}
wireless_dense,2,load_balanced,18.041168459645867,23.065343539690225,23.10034376203797,194.06596774422172,191.73150683891495,0.0,0.7906280071484615,8.94675925925926,0.875,0.999298633944504,0.35,0.00022444900241680443,199.28388186910962,0.6435259782319028,0,transport,0.75,{}
wireless_dense,3,load_balanced,17.331620244125215,21.19615374730222,21.196264384867142,174.65130843815024,173.32624619040934,0.0,0.8373186018122968,8.94675925925926,0.875,0.956148558945918,0.3,0.00022311600332614034,189.1245201685918,0.6189348001175842,0,transport,0.75,{}
wireless_dense,0,milp_exact,20.674164772445156,28.6794972835272,29.90203103417233,191.11518877243276,191.11518877243276,0.0,0.7190928028968271,9.801587301587302,1.0,0.8462618607361475,0.35,0.012220963995787315,106.33076800866617,,0,edge,0.875,{}
wireless_dense,1,milp_exact,19.5754989418775,26.05692000484988,27.5139288521808,171.69737944761826,169.5236524118578,0.0,0.7464142465886087,9.851190476190476,1.0,0.8488580173219203,0.3,0.012478945995098911,133.52182555930693,,0,edge,0.875,{}
wireless_dense,2,milp_exact,18.389828314569126,26.42083950222167,27.381442065153283,169.80509609665955,169.1113556575819,0.0,0.7888304494563217,9.801587301587302,1.0,0.838630609788463,0.35,0.01228061098663602,150.22645581462007,,0,edge,0.875,{}
wireless_dense,3,milp_exact,18.37428613034844,24.62149337045391,25.212135192406855,150.58520232667556,145.7285394276549,0.0,0.8775762630959514,9.851190476190476,1.0,0.7967703727772114,0.25,0.01614892100042198,136.29946784182025,,0,edge,0.875,{}
wireless_dense,0,simulated_annealing,18.44137807684209,23.738974335688827,24.793062003128284,140.68872725357664,140.68872725357664,0.0,0.7005105263786001,7.472222222222223,0.55,0.5604393610732255,0.2,0.5723959900060436,280.7545999713403,1.640389091786286,0,solver,0.625,{}
wireless_dense,1,simulated_annealing,18.19180737922301,23.2846889123797,23.67389345066917,155.56629399223198,155.56629399223198,0.0,0.7658742160013708,9.034722222222223,0.8125,0.6566929420961285,0.25,0.5432340469997143,275.58720089539077,1.4207084080375048,1,edge,0.625,{}
wireless_dense,2,simulated_annealing,17.495152059469426,22.24784669075835,22.936844392251594,152.66012522729307,150.4066996967509,0.0,0.7481735290128201,8.409722222222223,0.6875,0.725150612319338,0.25,0.5476788669911912,291.38632602014235,1.4031095341177593,0,transport,0.625,{}
wireless_dense,3,simulated_annealing,14.81028667342111,19.41610448245466,20.244268841930044,127.92535624062654,126.82391657043637,0.0,0.8768681187183109,7.268518518518519,0.75,0.646705166909337,0.2,0.5627674340066733,210.16333036471866,0.7990302311553777,1,edge,0.75,{}
wireless_dense,0,quantum_inspired,18.44137807684209,23.738974335688827,24.793062003128284,140.68872725357664,140.68872725357664,0.0,0.7005105263786001,7.472222222222223,0.55,0.5604393610732255,0.2,0.5421190699998988,280.7545999713403,1.640389091786286,0,transport,0.625,{}
wireless_dense,1,quantum_inspired,20.850975533249535,27.508439858432034,28.22298738972817,186.18487135060556,186.18487135060556,0.0,0.7972747018303643,11.435185185185185,1.0,0.8594649775820465,0.35,0.5859054680040572,185.70263465237315,0.6311785439859847,0,edge,0.75,{}
wireless_dense,2,quantum_inspired,20.744579369575703,28.79370702592083,29.217916455416955,197.03425664257577,191.42686670427597,0.0,0.7551263558941255,11.114547383072933,1.0,1.0,0.4,0.5312685669923667,227.37743963770447,0.5946189320839822,0,transport,0.75,{}
wireless_dense,3,quantum_inspired,17.155780843702352,21.59536523712341,21.82979587300462,150.03874481977726,146.2101065883852,0.0,0.8078893468003054,8.1875,0.95,0.6405118255829824,0.35,0.5262850970029831,281.7134638842789,0.3834012753333057,0,edge,0.625,{}
