scenario_name,time_slot,solver_name,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbps,goodput_mbps,packet_loss_rate,fairness_index,queue_delay_ms,edge_utilization,transport_utilization,wireless_utilization,solver_runtime_s,objective_value,quality_gap,constraint_violation_count,dominant_bottleneck,admission_rate,metadata
wireless_dense,0,greedy,33.03658096148565,47.71599463186294,48.36647802462152,282.1690593524429,282.1690593524429,0.0,0.7145320411685727,24.80520222733579,1.0,1.0,0.5,0.00011900300160050392,-6.007064464245111,0.27447701863824875,0,transport,1.0,{}
wireless_dense,1,greedy,33.717116381298936,37.983450727031894,38.17871988948559,236.69719107058492,236.69719107058492,0.0,0.8122839367669685,24.60368619202018,1.0,1.0,0.35,0.0001257459953194484,224.50390379768186,0.594349979062217,0,transport,0.875,{}
wireless_dense,2,greedy,34.84840566399218,45.280261361792185,45.56238576303535,251.34222991315505,251.34222991315505,0.0,0.8486918217890304,26.535948841307466,1.0,1.0,0.3,0.00013324599422048777,156.59829155091808,0.06482516436313715,0,transport,1.0,{}
wireless_dense,3,greedy,32.21448456414359,40.12828119446614,40.17205586274275,242.89463993549185,242.89463993549185,0.0,0.883715531222377,22.994791666666668,1.0,0.8596791271284159,0.45,0.0001297370035899803,245.07397094564874,0.17900243621470802,0,edge,1.0,{}
wireless_dense,0,exact_small_scale,30.031003818561615,40.15735734126725,40.65446818740704,272.15875728931826,272.15875728931826,0.0,0.7717581989980612,21.89361465818361,1.0,1.0,0.5,0.03083482399233617,-8.279633614045292,,0,transport,1.0,{}
wireless_dense,1,exact_small_scale,32.2076563095344,34.57863413764185,34.76847915669406,244.85123271923175,244.85123271923175,0.0,0.8517354482734103,23.234437356820813,1.0,1.0,0.3,0.17303321001236327,136.12468474361143,,0,transport,1.0,{}
wireless_dense,2,exact_small_scale,29.126900312007024,34.84468095475044,35.94909305170667,171.13750706023546,171.13750706023546,0.0,0.9497957466859844,21.235830874043913,1.0,1.0,0.25,0.5895937760069501,72.68061956591362,,0,transport,1.0,{}
wireless_dense,3,exact_small_scale,22.82352391072262,26.35739499381113,27.132902116267022,175.28609845745956,175.28609845745956,0.0,0.8909408434416534,15.0,1.0,0.7595473938431818,0.25,1.9648910719988635,76.13420373609614,,0,edge,1.0,{}
wireless_dense,0,simulated_annealing,22.1009730037316,27.61061795340171,28.009082919979058,245.15755309983263,245.15755309983263,0.0,0.7487207362408852,14.037754479505995,1.0,1.0,0.4,0.31648932899406645,0.8615933387682979,1.1040617712004455,0,transport,1.0,{}
wireless_dense,1,simulated_annealing,29.945889511014656,37.891479414637374,38.9547071783269,241.961804982748,241.961804982748,0.0,0.8354650911826018,21.306737309900875,1.0,1.0,0.4,0.30916554800933227,150.37299754831443,0.16657886859352822,0,transport,1.0,{}
wireless_dense,2,simulated_annealing,26.659175334701246,38.775013227813574,39.00477808608236,183.95154461210169,183.95154461210169,0.0,0.7868732544360426,18.84982638888889,1.0,0.7335436073425652,0.25,0.30389961499895435,239.21329520526496,1.446868374943506,0,edge,1.0,{}
wireless_dense,3,simulated_annealing,28.480085212256547,39.61382301554662,39.6713853697828,224.44866753846097,224.44866753846097,0.0,0.8934830477175973,20.1171875,1.0,0.924644867497168,0.35,0.32811914099147543,181.07239274841572,2.544427451095307,0,edge,1.0,{}
wireless_dense,0,quantum_inspired,32.07561306521004,34.37234013799686,34.470986017559305,231.05385006587034,231.05385006587034,0.0,0.7936208707385838,23.58248474715578,1.0,1.0,0.4,0.2856749070051592,19.121788631704803,3.3094969563951775,0,transport,1.0,{}
wireless_dense,1,quantum_inspired,24.92665514056994,29.05877945830775,29.685249117655108,199.02173278970344,199.02173278970344,0.0,0.8267497019331581,16.508999836366645,1.0,1.0,0.25,0.28007663700554986,165.0867528016199,3.043856756325993,0,transport,0.875,{}
wireless_dense,2,quantum_inspired,27.785905717238226,31.772625694089726,32.07147010673451,196.84274890601773,196.84274890601773,0.0,0.8400050419916862,18.985641473102767,1.0,1.0,0.25,0.286363823004649,115.38125924675623,2.692515230430738,0,transport,0.875,{}
wireless_dense,3,quantum_inspired,27.001644014859256,30.379702037935107,30.45790016051064,209.07158810042378,209.07158810042378,0.0,0.8886624299661152,17.8515625,1.0,0.6991971206437311,0.35,0.3322000210027909,94.37792685461864,1.3017191742832914,0,edge,1.0,{}
