scenario_name,time_slot,solver_name,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbps,goodput_mbps,packet_loss_rate,fairness_index,queue_delay_ms,edge_utilization,transport_utilization,wireless_utilization,solver_runtime_s,objective_value,quality_gap,constraint_violation_count,dominant_bottleneck,admission_rate,metadata,traffic.num_users,topology.backhaul_capacity_mbps,ml.forecast_error_std,sweep_label
wireless_dense,0,greedy,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.00011995898967143148,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,greedy,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.000110806999146007,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.691116021724112,0.2,0.012376259997836314,11.471385136014222,,0,transport,1.0,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.8049154237651501,0.2,0.011315674011711963,17.789883941018147,,0,transport,1.0,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,quantum_inspired,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.49149261599814054,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,quantum_inspired,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.440076857994427,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,greedy,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.00010865699732676148,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,greedy,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.00013441999908536673,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.691116021724112,0.2,0.012892879996798001,11.471385136014222,,0,transport,1.0,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.8049154237651501,0.2,0.014003790012793615,17.789883941018147,,0,transport,1.0,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
